Gameweek,Kylian Mbappé,Robert Lewandowski,Ante Budimir,Alexander Sørloth,Ayoze Pérez,Raphinha,Julián Álvarez,Oihan Sancet,Kike García,Javi Puado
1,0,2,0,1,0,0,0,1,1,0
2,0,3,0,1,1,0,0,2,1,0
3,0,3,0,1,1,0,0,2,1,0
4,2,4,0,1,2,3,0,2,1,0
5,3,4,0,1,3,3,1,3,1,3
6,4,6,1,1,4,5,1,3,1,3
7,5,7,1,1,6,5,2,3,2,3
8,5,7,3,1,6,5,2,3,2,3
9,5,10,4,1,6,5,3,4,2,3
10,6,12,4,3,6,5,3,4,3,3
11,6,14,5,3,7,6,3,4,3,3
12,6,14,6,4,7,7,3,4,3,4
13,7,14,6,4,7,7,4,4,3,5
14,8,15,8,5,7,8,4,5,3,5
15,8,15,9,6,7,9,5,7,3,5
16,9,15,10,6,7,11,5,7,5,5
17,9,16,10,7,8,11,5,7,5,6
18,10,16,10,8,8,11,5,7,5,6
19,10,16,10,8,8,11,6,7,5,6
20,12,16,10,8,8,11,6,7,8,7
21,15,17,10,8,8,12,6,7,9,7
22,15,18,12,8,9,12,6,8,9,7
23,16,19,12,8,10,13,7,11,9,8
24,17,20,13,9,10,13,7,12,10,8
25,17,20,13,9,11,13,9,13,10,8
26,17,21,14,9,11,13,10,13,11,8
27,18,22,15,10,11,13,10,13,11,8
28,20,23,15,11,12,13,11,13,11,9
29,22,25,15,11,12,13,11,13,11,10
30,22,25,15,11,13,13,12,13,11,10
31,22,25,16,12,14,13,14,15,11,10
32,22,25,18,12,14,15,14,15,12,11
33,22,25,18,13,14,15,15,15,12,11
34,24,25,18,13,16,16,15,15,12,11
35,27,25,19,17,16,18,15,15,12,11
36,28,25,20,17,18,18,15,15,12,11
37,29,25,21,17,19,18,17,15,13,11
38,31,27,21,20,19,18,17,15,13,12
