Gameweek,Mateo Retegui,Moise Kean,Ademola Lookman,Riccardo Orsolini,Marcus Thuram,Romelu Lukaku,Lautaro Martinez,Scott McTominay,Lorenzo Lucca,Artem Dovbyk
1,2,0,0,1,2,0,0,0,0,0
2,3,0,0,1,2,0,0,0,1,0
3,3,1,0,1,4,1,0,0,1,0
4,4,2,1,1,4,2,0,0,2,1
5,4,2,2,1,4,2,0,0,2,2
6,4,2,2,1,4,2,2,0,3,2
7,7,2,2,1,7,3,2,1,3,3
8,8,2,2,2,7,3,3,1,3,3
9,10,4,4,3,7,3,3,1,4,3
10,10,4,4,4,7,4,4,1,4,3
11,11,5,6,5,7,4,5,1,4,4
12,11,8,6,5,7,4,5,2,4,4
13,12,9,7,6,9,5,5,2,4,4
14,12,9,7,6,10,5,5,3,4,4
15,12,9,8,6,11,5,5,3,5,4
16,12,10,8,6,12,6,5,3,5,4
17,12,11,9,6,12,6,6,3,6,5
18,12,11,9,6,12,6,6,3,7,5
19,12,11,9,6,12,7,7,4,7,5
20,13,12,9,7,13,7,8,4,7,6
21,14,12,10,7,13,8,9,5,7,7
22,16,13,10,7,13,9,9,5,8,8
23,16,15,10,7,13,9,9,5,9,8
24,20,15,10,7,13,9,9,6,9,8
25,20,15,10,7,13,9,9,6,9,8
26,21,15,12,7,13,9,10,6,10,8
27,21,15,12,9,13,9,10,6,10,9
28,22,15,13,9,13,10,10,6,10,9
29,22,15,13,10,13,10,11,6,10,10
30,22,16,13,11,13,11,11,6,10,11
31,22,17,13,11,14,11,11,6,10,11
32,23,17,13,11,14,12,12,8,10,11
33,23,17,13,12,14,12,12,9,10,11
34,24,17,13,12,14,12,12,11,10,11
35,24,17,14,12,14,12,12,11,10,12
36,24,17,15,13,14,13,12,11,11,12
37,25,18,15,14,14,13,12,11,11,12
38,25,19,15,15,14,14,12,12,12,12
